id,model,technology,refrigerant,capacity_control,condenser_temp,evaporator_temp,power
0,HLH061T4,Scroll,R410A,Fixed Speed,30,-25,5.278
1,HLH061T4,Scroll,R410A,Fixed Speed,30,-20,6.65
2,HLH061T4,Scroll,R410A,Fixed Speed,30,-15,8.195
3,HLH061T4,Scroll,R410A,Fixed Speed,30,-10,10
4,HLH061T4,Scroll,R410A,Fixed Speed,30,-5,12.17
5,HLH061T4,Scroll,R410A,Fixed Speed,35,-25,4.74
6,HLH061T4,Scroll,R410A,Fixed Speed,35,-20,6.187
7,HLH061T4,Scroll,R410A,Fixed Speed,35,-15,7.732
8,HLH061T4,Scroll,R410A,Fixed Speed,35,-10,9.462
9,HLH061T4,Scroll,R410A,Fixed Speed,35,-5,11.47
10,HLH061T4,Scroll,R410A,Fixed Speed,40,-20,5.565
11,HLH061T4,Scroll,R410A,Fixed Speed,40,-15,7.166
12,HLH061T4,Scroll,R410A,Fixed Speed,40,-10,8.876
13,HLH061T4,Scroll,R410A,Fixed Speed,40,-5,10.79
14,HLH061T4,Scroll,R410A,Fixed Speed,45,-15,6.438
15,HLH061T4,Scroll,R410A,Fixed Speed,45,-10,8.182
16,HLH061T4,Scroll,R410A,Fixed Speed,45,-5,10.05
17,HLH061T4,Scroll,R410A,Fixed Speed,50,-15,5.49
18,HLH061T4,Scroll,R410A,Fixed Speed,50,-10,7.322
19,HLH061T4,Scroll,R410A,Fixed Speed,50,-5,9.193
20,HLH061T4,Scroll,R410A,Fixed Speed,55,-10,6.238
21,HLH061T4,Scroll,R410A,Fixed Speed,55,-5,8.167
22,HLH061T4,Scroll,R410A,Fixed Speed,60,-10,4.879
23,HLH061T4,Scroll,R410A,Fixed Speed,60,-5,6.91
24,HLH061T4,Scroll,R410A,Fixed Speed,65,-5,5.37
25,MT064-4,Reciprocating,R22,Fixed Speed,30,-25,2.297
26,MT064-4,Reciprocating,R22,Fixed Speed,30,-20,2.598
27,MT064-4,Reciprocating,R22,Fixed Speed,30,-15,2.861
28,MT064-4,Reciprocating,R22,Fixed Speed,30,-10,3.087
29,MT064-4,Reciprocating,R22,Fixed Speed,30,-5,3.277
30,MT064-4,Reciprocating,R22,Fixed Speed,30,0,3.432
31,MT064-4,Reciprocating,R22,Fixed Speed,30,5,3.553
32,MT064-4,Reciprocating,R22,Fixed Speed,30,10,3.642
33,MT064-4,Reciprocating,R22,Fixed Speed,30,15,3.699
34,MT064-4,Reciprocating,R22,Fixed Speed,35,-25,2.356
35,MT064-4,Reciprocating,R22,Fixed Speed,35,-20,2.704
36,MT064-4,Reciprocating,R22,Fixed Speed,35,-15,3.012
37,MT064-4,Reciprocating,R22,Fixed Speed,35,-10,3.282
38,MT064-4,Reciprocating,R22,Fixed Speed,35,-5,3.516
39,MT064-4,Reciprocating,R22,Fixed Speed,35,0,3.713
40,MT064-4,Reciprocating,R22,Fixed Speed,35,5,3.875
41,MT064-4,Reciprocating,R22,Fixed Speed,35,10,4.004
42,MT064-4,Reciprocating,R22,Fixed Speed,35,15,4.1
43,MT064-4,Reciprocating,R22,Fixed Speed,40,-25,2.391
44,MT064-4,Reciprocating,R22,Fixed Speed,40,-20,2.791
45,MT064-4,Reciprocating,R22,Fixed Speed,40,-15,3.15
46,MT064-4,Reciprocating,R22,Fixed Speed,40,-10,3.469
47,MT064-4,Reciprocating,R22,Fixed Speed,40,-5,3.751
48,MT064-4,Reciprocating,R22,Fixed Speed,40,0,3.995
49,MT064-4,Reciprocating,R22,Fixed Speed,40,5,4.204
50,MT064-4,Reciprocating,R22,Fixed Speed,40,10,4.377
51,MT064-4,Reciprocating,R22,Fixed Speed,40,15,4.517
52,MT064-4,Reciprocating,R22,Fixed Speed,45,-25,2.397
53,MT064-4,Reciprocating,R22,Fixed Speed,45,-20,2.852
54,MT064-4,Reciprocating,R22,Fixed Speed,45,-15,3.267
55,MT064-4,Reciprocating,R22,Fixed Speed,45,-10,3.641
56,MT064-4,Reciprocating,R22,Fixed Speed,45,-5,3.976
57,MT064-4,Reciprocating,R22,Fixed Speed,45,0,4.272
58,MT064-4,Reciprocating,R22,Fixed Speed,45,5,4.532
59,MT064-4,Reciprocating,R22,Fixed Speed,45,10,4.755
60,MT064-4,Reciprocating,R22,Fixed Speed,45,15,4.944
61,MT064-4,Reciprocating,R22,Fixed Speed,50,-20,2.882
62,MT064-4,Reciprocating,R22,Fixed Speed,50,-15,3.357
63,MT064-4,Reciprocating,R22,Fixed Speed,50,-10,3.79
64,MT064-4,Reciprocating,R22,Fixed Speed,50,-5,4.183
65,MT064-4,Reciprocating,R22,Fixed Speed,50,0,4.537
66,MT064-4,Reciprocating,R22,Fixed Speed,50,5,4.852
67,MT064-4,Reciprocating,R22,Fixed Speed,50,10,5.131
68,MT064-4,Reciprocating,R22,Fixed Speed,50,15,5.374
69,MT064-4,Reciprocating,R22,Fixed Speed,55,-15,3.412
70,MT064-4,Reciprocating,R22,Fixed Speed,55,-10,3.91
71,MT064-4,Reciprocating,R22,Fixed Speed,55,-5,4.366
72,MT064-4,Reciprocating,R22,Fixed Speed,55,0,4.732
73,MT064-4,Reciprocating,R22,Fixed Speed,55,5,5.158
74,MT064-4,Reciprocating,R22,Fixed Speed,55,10,5.497
75,MT064-4,Reciprocating,R22,Fixed Speed,55,15,5.799
76,MT064-4,Reciprocating,R22,Fixed Speed,60,-10,3.993
77,MT064-4,Reciprocating,R22,Fixed Speed,60,-5,4.517
78,MT064-4,Reciprocating,R22,Fixed Speed,60,0,5
79,MT064-4,Reciprocating,R22,Fixed Speed,60,5,5.443
80,MT064-4,Reciprocating,R22,Fixed Speed,60,10,5.846
81,MT064-4,Reciprocating,R22,Fixed Speed,60,15,6.212
82,MT064-4,Reciprocating,R22,Fixed Speed,65,-5,4.63
83,MT064-4,Reciprocating,R22,Fixed Speed,65,0,5.185
84,MT064-4,Reciprocating,R22,Fixed Speed,65,5,5.699
85,MT064-4,Reciprocating,R22,Fixed Speed,65,10,6.172
86,MT064-4,Reciprocating,R22,Fixed Speed,65,15,6.606
87,MT064-6,Reciprocating,R22,Fixed Speed,30,-25,2.297
88,MT064-6,Reciprocating,R22,Fixed Speed,30,-20,2.598
89,MT064-6,Reciprocating,R22,Fixed Speed,30,-15,2.861
90,MT064-6,Reciprocating,R22,Fixed Speed,30,-10,3.087
91,MT064-6,Reciprocating,R22,Fixed Speed,30,-5,3.277
92,MT064-6,Reciprocating,R22,Fixed Speed,30,0,3.432
93,MT064-6,Reciprocating,R22,Fixed Speed,30,5,3.553
94,MT064-6,Reciprocating,R22,Fixed Speed,30,10,3.642
95,MT064-6,Reciprocating,R22,Fixed Speed,30,15,3.699
96,MT064-6,Reciprocating,R22,Fixed Speed,35,-25,2.356
97,MT064-6,Reciprocating,R22,Fixed Speed,35,-20,2.704
98,MT064-6,Reciprocating,R22,Fixed Speed,35,-15,3.012
99,MT064-6,Reciprocating,R22,Fixed Speed,35,-10,3.282
100,MT064-6,Reciprocating,R22,Fixed Speed,35,-5,3.516
101,MT064-6,Reciprocating,R22,Fixed Speed,35,0,3.713
102,MT064-6,Reciprocating,R22,Fixed Speed,35,5,3.875
103,MT064-6,Reciprocating,R22,Fixed Speed,35,10,4.004
104,MT064-6,Reciprocating,R22,Fixed Speed,35,15,4.1
105,MT064-6,Reciprocating,R22,Fixed Speed,40,-25,2.391
106,MT064-6,Reciprocating,R22,Fixed Speed,40,-20,2.791
107,MT064-6,Reciprocating,R22,Fixed Speed,40,-15,3.15
108,MT064-6,Reciprocating,R22,Fixed Speed,40,-10,3.469
109,MT064-6,Reciprocating,R22,Fixed Speed,40,-5,3.751
110,MT064-6,Reciprocating,R22,Fixed Speed,40,0,3.995
111,MT064-6,Reciprocating,R22,Fixed Speed,40,5,4.204
112,MT064-6,Reciprocating,R22,Fixed Speed,40,10,4.377
113,MT064-6,Reciprocating,R22,Fixed Speed,40,15,4.517
114,MT064-6,Reciprocating,R22,Fixed Speed,45,-25,2.397
115,MT064-6,Reciprocating,R22,Fixed Speed,45,-20,2.852
116,MT064-6,Reciprocating,R22,Fixed Speed,45,-15,3.267
117,MT064-6,Reciprocating,R22,Fixed Speed,45,-10,3.641
118,MT064-6,Reciprocating,R22,Fixed Speed,45,-5,3.976
119,MT064-6,Reciprocating,R22,Fixed Speed,45,0,4.272
120,MT064-6,Reciprocating,R22,Fixed Speed,45,5,4.532
121,MT064-6,Reciprocating,R22,Fixed Speed,45,10,4.755
122,MT064-6,Reciprocating,R22,Fixed Speed,45,15,4.944
123,MT064-6,Reciprocating,R22,Fixed Speed,50,-20,2.882
124,MT064-6,Reciprocating,R22,Fixed Speed,50,-15,3.357
125,MT064-6,Reciprocating,R22,Fixed Speed,50,-10,3.79
126,MT064-6,Reciprocating,R22,Fixed Speed,50,-5,4.183
127,MT064-6,Reciprocating,R22,Fixed Speed,50,0,4.537
128,MT064-6,Reciprocating,R22,Fixed Speed,50,5,4.852
129,MT064-6,Reciprocating,R22,Fixed Speed,50,10,5.131
130,MT064-6,Reciprocating,R22,Fixed Speed,50,15,5.374
131,MT064-6,Reciprocating,R22,Fixed Speed,55,-15,3.412
132,MT064-6,Reciprocating,R22,Fixed Speed,55,-10,3.91
133,MT064-6,Reciprocating,R22,Fixed Speed,55,-5,4.366
134,MT064-6,Reciprocating,R22,Fixed Speed,55,0,4.732
135,MT064-6,Reciprocating,R22,Fixed Speed,55,5,5.158
136,MT064-6,Reciprocating,R22,Fixed Speed,55,10,5.497
137,MT064-6,Reciprocating,R22,Fixed Speed,55,15,5.799
138,MT064-6,Reciprocating,R22,Fixed Speed,60,-10,3.993
139,MT064-6,Reciprocating,R22,Fixed Speed,60,-5,4.517
140,MT064-6,Reciprocating,R22,Fixed Speed,60,0,5
141,MT064-6,Reciprocating,R22,Fixed Speed,60,5,5.443
142,MT064-6,Reciprocating,R22,Fixed Speed,60,10,5.846
143,MT064-6,Reciprocating,R22,Fixed Speed,60,15,6.212
144,MT064-6,Reciprocating,R22,Fixed Speed,65,-5,4.63
145,MT064-6,Reciprocating,R22,Fixed Speed,65,0,5.185
146,MT064-6,Reciprocating,R22,Fixed Speed,65,5,5.699
147,MT064-6,Reciprocating,R22,Fixed Speed,65,10,6.172
148,MT064-6,Reciprocating,R22,Fixed Speed,65,15,6.606
149,MTZ056-6,Reciprocating,R404A,Fixed Speed,30,-30,3.344
150,MTZ056-6,Reciprocating,R404A,Fixed Speed,30,-25,4.564
151,MTZ056-6,Reciprocating,R404A,Fixed Speed,30,-20,6.06
152,MTZ056-6,Reciprocating,R404A,Fixed Speed,30,-15,7.862
153,MTZ056-6,Reciprocating,R404A,Fixed Speed,30,-10,10.01
154,MTZ056-6,Reciprocating,R404A,Fixed Speed,30,-5,12.53
155,MTZ056-6,Reciprocating,R404A,Fixed Speed,35,-30,2.776
156,MTZ056-6,Reciprocating,R404A,Fixed Speed,35,-25,3.955
157,MTZ056-6,Reciprocating,R404A,Fixed Speed,35,-20,5.377
158,MTZ056-6,Reciprocating,R404A,Fixed Speed,35,-15,7.073
159,MTZ056-6,Reciprocating,R404A,Fixed Speed,35,-10,9.075
160,MTZ056-6,Reciprocating,R404A,Fixed Speed,35,-5,11.42
161,MTZ056-6,Reciprocating,R404A,Fixed Speed,40,-30,2.27
162,MTZ056-6,Reciprocating,R404A,Fixed Speed,40,-25,3.388
163,MTZ056-6,Reciprocating,R404A,Fixed Speed,40,-20,4.718
164,MTZ056-6,Reciprocating,R404A,Fixed Speed,40,-15,6.29
165,MTZ056-6,Reciprocating,R404A,Fixed Speed,40,-10,8.132
166,MTZ056-6,Reciprocating,R404A,Fixed Speed,40,-5,10.28
167,MTZ056-6,Reciprocating,R404A,Fixed Speed,45,-30,1.834
168,MTZ056-6,Reciprocating,R404A,Fixed Speed,45,-25,2.873
169,MTZ056-6,Reciprocating,R404A,Fixed Speed,45,-20,4.092
170,MTZ056-6,Reciprocating,R404A,Fixed Speed,45,-15,5.521
171,MTZ056-6,Reciprocating,R404A,Fixed Speed,45,-10,7.718
172,MTZ056-6,Reciprocating,R404A,Fixed Speed,45,-5,9.117
173,MTZ056-6,Reciprocating,R404A,Fixed Speed,50,-30,1.475
174,MTZ056-6,Reciprocating,R404A,Fixed Speed,50,-25,2.415
175,MTZ056-6,Reciprocating,R404A,Fixed Speed,50,-20,3.506
176,MTZ056-6,Reciprocating,R404A,Fixed Speed,50,-15,4.774
177,MTZ056-6,Reciprocating,R404A,Fixed Speed,50,-10,6.245
178,MTZ056-6,Reciprocating,R404A,Fixed Speed,50,-5,7.943
179,MTZ056-6,Reciprocating,R404A,Fixed Speed,55,-25,2.023
180,MTZ056-6,Reciprocating,R404A,Fixed Speed,55,-20,2.966
181,MTZ056-6,Reciprocating,R404A,Fixed Speed,55,-15,4.055
182,MTZ056-6,Reciprocating,R404A,Fixed Speed,55,-10,5.314
183,MTZ056-6,Reciprocating,R404A,Fixed Speed,55,-5,6.764
184,MTZ056-6,Reciprocating,R404A,Fixed Speed,60,-25,1.702
185,MTZ056-6,Reciprocating,R404A,Fixed Speed,60,-20,2.477
186,MTZ056-6,Reciprocating,R404A,Fixed Speed,60,-15,3.368
187,MTZ056-6,Reciprocating,R404A,Fixed Speed,60,-10,4.397
188,MTZ056-6,Reciprocating,R404A,Fixed Speed,60,-5,5.583
189,MTZ064-4,Reciprocating,R407A,Fixed Speed,30,-30,1.826
190,MTZ064-4,Reciprocating,R407A,Fixed Speed,30,-25,2.21
191,MTZ064-4,Reciprocating,R407A,Fixed Speed,30,-20,2.574
192,MTZ064-4,Reciprocating,R407A,Fixed Speed,30,-15,2.912
193,MTZ064-4,Reciprocating,R407A,Fixed Speed,30,-10,3.219
194,MTZ064-4,Reciprocating,R407A,Fixed Speed,30,-5,3.489
195,MTZ064-4,Reciprocating,R407A,Fixed Speed,30,0,3.716
196,MTZ064-4,Reciprocating,R407A,Fixed Speed,30,5,3.896
197,MTZ064-4,Reciprocating,R407A,Fixed Speed,30,10,4.022
198,MTZ064-4,Reciprocating,R407A,Fixed Speed,35,-30,1.787
199,MTZ064-4,Reciprocating,R407A,Fixed Speed,35,-25,2.21
200,MTZ064-4,Reciprocating,R407A,Fixed Speed,35,-20,2.615
201,MTZ064-4,Reciprocating,R407A,Fixed Speed,35,-15,2.996
202,MTZ064-4,Reciprocating,R407A,Fixed Speed,35,-10,3.348
203,MTZ064-4,Reciprocating,R407A,Fixed Speed,35,-5,3.666
204,MTZ064-4,Reciprocating,R407A,Fixed Speed,35,0,3.944
205,MTZ064-4,Reciprocating,R407A,Fixed Speed,35,5,4.176
206,MTZ064-4,Reciprocating,R407A,Fixed Speed,35,10,4.357
207,MTZ064-4,Reciprocating,R407A,Fixed Speed,40,-30,1.726
208,MTZ064-4,Reciprocating,R407A,Fixed Speed,40,-25,2.19
209,MTZ064-4,Reciprocating,R407A,Fixed Speed,40,-20,2.638
210,MTZ064-4,Reciprocating,R407A,Fixed Speed,40,-15,3.066
211,MTZ064-4,Reciprocating,R407A,Fixed Speed,40,-10,3.467
212,MTZ064-4,Reciprocating,R407A,Fixed Speed,40,-5,3.835
213,MTZ064-4,Reciprocating,R407A,Fixed Speed,40,0,4.166
214,MTZ064-4,Reciprocating,R407A,Fixed Speed,40,5,4.454
215,MTZ064-4,Reciprocating,R407A,Fixed Speed,40,10,4.693
