name,dept,ph_no
Dr.Mohan.M,cardiology,4224323124
Dr.Ramani Kumar .V,dental,4224323388
Dr.Pavithra.S,dermatology,4224323104
Dr.Krishnan Swaminathan,endocrinology,4224324651
Dr.Kannaki Uthraraj.C.V,fertility centre,4224323538
Dr. Aravindh.S,gastroenterology,4224323396
Dr.Gowrishankar.E.S,general medicine,4224324174
Dr.Ganesan.A,general surgery,4224323618
Dr.Rajasekar.T,haematology,4224324110
Dr.Bala Krishnan.R,neonatology,4224323148
Dr.Kandasamy.S.,nephrology,4224323105
Dr.Ganesan.D (Neuro),neuro surgery,4224323102
Dr.Baskar.P (Neuro),neurology,4224323617
Dr.Athima Pathak,obsterics and gynaecology,4224323390
Dr.Pounraju.K,ophthalmology,4224323103
Dr.Baskaran.K (Ortho),orthopaedics,4224323173
Dr.Ashwath.D,paediatrics,4224323614
Dr.Santha Kumar,pulmonology,4224323223
Dr.Pankaj Mehta,radiology,4224324059
Dr.Rajamani.V,rheumatology,4224323219
Dr.Baranikumar.P.B,urology,4224323216
